letter_idx,sentence,top_emotion,top_emotion_score,joy,neutral,sadness,surprise,anger,fear,disgust,second_emotion_score,confidence_gap,second_emotion
0,"I FLATTER, myself, dear sister, that I shall give you some pleasure in letting you know that I have safely passed the sea, though we had the ill fortune of a storm.",joy,0.967958927154541,0.967958927154541,0.017891759052872658,0.006394340191036463,0.003316138405352831,0.001776458928361535,0.0013899023178964853,0.0012724592816084623,0.017891759052872658,0.9500671681016684,neutral
0,"We were persuaded by the captain of the yacht to set out in a calm, and he pretended there was nothing so easy as to tide it over; but, after two days slowly moving, the wind blew so hard, that none of the sailors could keep their feet, and we were all Sunday night tossed very handsomely.",anger,0.37339890003204346,0.05528762564063072,0.1702508181333542,0.16323256492614746,0.05496210604906082,0.37339890003204346,0.033108945935964584,0.14975903928279877,0.1702508181333542,0.20314808189868927,neutral
0,I never saw a man more frighted (sic) than the captain.,fear,0.9823507070541382,0.0009284951374866068,0.006064228247851133,0.0016036839224398136,0.002939920173957944,0.003022572258487344,0.9823507070541382,0.003090426791459322,0.006064228247851133,0.976286478806287,neutral
0,"For my part, I have been so lucky, neither to suffer from fear nor seasickness; though, I confess, I was so impatient to see myself once more upon dry land, that I would not stay till the yacht could get to Rotterdam, but went in the long-boat to Helvoetsluys, where we had voitures to carry us to the Briel.",fear,0.7772514224052429,0.016552748158574104,0.010789373889565468,0.18129369616508484,0.0027608692180365324,0.008752341382205486,0.7772514224052429,0.0025995448231697083,0.18129369616508484,0.5959577262401581,sadness
0,I was charmed with the neatness of that little town; but my arrival at Rotterdam presented me a new scene of pleasure.,joy,0.9901397824287415,0.9901397824287415,0.0026014945469796658,0.0014097021194174886,0.0008527657482773066,0.0014249406522139907,0.000436982634710148,0.0031343523878604174,0.0031343523878604174,0.987005430040881,disgust
0,"All the streets are paved with broad stones, and before many of the meanest artificers doors are placed seats of various coloured marbles, so neatly kept, that, I assure you, I walked almost all over the town yesterday, _incognito_,  in my slippers without receiving one spot of dirt; and you may see the Dutch maids washing the pavement of the street, with more application than ours do our bed-chambers.",disgust,0.4438871741294861,0.01697457768023014,0.1551288664340973,0.1924068182706833,0.0893070250749588,0.09068416804075241,0.011611388996243477,0.4438871741294861,0.1924068182706833,0.2514803558588028,sadness
0,"The town seems so full of people, with such busy faces, all in motion, that I can hardly fancy it is not some celebrated fair; but I see it is every day the same.",surprise,0.6989019513130188,0.014359419234097004,0.23291021585464478,0.011067365296185017,0.6989019513130188,0.010352912358939648,0.005177525337785482,0.027230581268668175,0.23291021585464478,0.465991735458374,neutral
0,'Tis certain no town can be more advantageously situated for commerce.,neutral,0.944022536277771,0.009764326736330986,0.944022536277771,0.009488662704825401,0.016863521188497543,0.0044563026167452335,0.007286917418241501,0.008117697201669216,0.016863521188497543,0.9271590150892735,surprise
0,"Here are seven large canals, on which the merchants ships come up to the very doors of their houses.",neutral,0.8928142786026001,0.006712596397846937,0.8928142786026001,0.0027078231796622276,0.052044276148080826,0.009581409394741058,0.006680546328425407,0.029459036886692047,0.052044276148080826,0.8407700024545193,surprise
0,"The shops and warehouses are of a surprising neatness and magnificence, filled with an incredible quantity of fine merchandise, and so much cheaper than what we see in England, that I have much ado to persuade myself I am still so near it.",surprise,0.929538369178772,0.02549036778509617,0.030427072197198868,0.0013607093133032322,0.929538369178772,0.00453906087204814,0.004565201234072447,0.004079190082848072,0.030427072197198868,0.8991112969815731,neutral
0,Here is neither dirt nor beggary to be seen.,disgust,0.7378792762756348,0.003457958111539483,0.1710483580827713,0.04737553745508194,0.0038609288167208433,0.02795526571571827,0.008422674611210823,0.7378792762756348,0.1710483580827713,0.5668309181928635,neutral
0,"One is not shocked with those loathsome cripples, so common in London, nor teased with the importunity of idle fellows and wenches, that chuse (sic) to be nasty and lazy.",disgust,0.6615444421768188,0.0027994192205369473,0.05824143812060356,0.07516435533761978,0.12547576427459717,0.06622105091810226,0.010553569532930851,0.6615444421768188,0.12547576427459717,0.5360686779022217,surprise
0,"The common servants, and little shop-women, here, are more nicely clean than most of our ladies; and the great variety of neat dresses (every woman dressing her head after her own fashion) is an additional pleasure in seeing the town.",joy,0.8591021299362183,0.8591021299362183,0.10076282918453217,0.004371072165668011,0.009317468851804733,0.0034245438873767853,0.0006506288191303611,0.022371329367160797,0.10076282918453217,0.7583393007516861,neutral
0,"You see, hitherto, I make no complaints, dear sister; and if I continue to like travelling as I do at present, I shall not repent my project.",anger,0.2625758945941925,0.0615379773080349,0.20830337703227997,0.2426927238702774,0.0023838209453970194,0.2625758945941925,0.005558577831834555,0.21694763004779816,0.2426927238702774,0.0198831707239151,sadness
0,"It will go a great way in making me satisfied with it, if it affords me an opportunity of entertaining you.",joy,0.9399396777153015,0.9399396777153015,0.04496579244732857,0.0032999434042721987,0.0029382093343883753,0.0040253871120512486,0.00037753122160211205,0.004453422501683235,0.04496579244732857,0.894973885267973,neutral
0,But it is not from Holland that you may expect a _disinterested_ offer.,neutral,0.9113561511039734,0.002629144350066781,0.9113561511039734,0.007508696056902409,0.06152443587779999,0.007471132092177868,0.0022473118733614683,0.007263037376105785,0.06152443587779999,0.8498317152261734,surprise
0,"I can write enough in the stile (sic) of Rotterdam, to tell you plainly, in one word that I expect returns of all the London news.",neutral,0.9039137363433838,0.02764611504971981,0.9039137363433838,0.007075715810060501,0.04037994518876076,0.009687410667538643,0.006346697453409433,0.004950351547449827,0.04037994518876076,0.863533791154623,surprise
0,"You see I have already learnt to make a good bargain; and that it is not for nothing I will so much as tell you, I am your affectionate sister.",joy,0.6699538230895996,0.6699538230895996,0.17393429577350616,0.023216605186462402,0.011244487017393112,0.04553811624646187,0.002612223383039236,0.07350045442581177,0.17393429577350616,0.49601952731609344,neutral
1,"I MAKE haste to tell you, dear Madam, that, after all the dreadful fatigues you threatened me with, I am hitherto very well pleased with my journey.",fear,0.9631620645523071,0.027476737275719643,0.00307476706802845,0.0025550147984176874,0.0007312462548725307,0.001735858852043748,0.9631620645523071,0.0012642651563510299,0.027476737275719643,0.9356853272765875,joy
1,"We take care to make such short stages every day, that I rather fancy myself upon parties of pleasure, than upon the road; and sure nothing can be more agreeable than travelling in Holland.",neutral,0.570196807384491,0.3609166741371155,0.570196807384491,0.018490580841898918,0.008600764907896519,0.016302090138196945,0.005532241892069578,0.019960861653089523,0.3609166741371155,0.2092801332473755,joy
